市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,,,,,,,,,,
132241,0000000069,東京都,多摩市,多摩市立複合文化施設（パルテノン多摩）,タマシリツフクゴウブンカシセツ（パルテノンタマ）,Parthenon　Tama,東京都多摩市落合2-35,,,35.621686,139.426282,,,,,,,,,,,,,,,09:00,22:00,,,,,,,,,,,,,,,
132241,0000000070,東京都,多摩市,多摩市立豊ヶ丘児童館,タマシリツトヨガオカジドウカン,Toyogaoka chidren's　house,東京都多摩市豊ヶ丘5-6,,,35.614535,139.434565,5,3,1,1,4,1,3,1,0,1,1,有,有,無,10:00,18:00,土曜日、三期休業中は9:30開始,,,,,,,,,,,,,,
132241,0000000071,東京都,多摩市,多摩市立諏訪児童館,タマシリツスワジドウカン,Suwa chidren's　house,東京都多摩市諏訪2-8,,,35.625341,139.451467,3,2,0,1,2,0,2,1,0,1,0,有,有,無,09:00,18:00,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000072,東京都,多摩市,多摩市立東寺方児童館,タマシリツヒガシテラカタジドウカン,Higashiterakata chidren's　house,東京都多摩市東寺方626-7,,,35.643283,139.437715,6,4,1,1,4,3,1,0,0,0,0,有,有,無,10:00,18:00,土曜日、三期休業中は9:30開始,,,,,,,,,,,,,,
132241,0000000073,東京都,多摩市,多摩市立永山児童館,タマシリツナガヤマジドウカン,Nagayama chidren's　house,東京都多摩市永山3-6,,,35.625519,139.445901,3,2,0,1,2,0,2,1,0,1,0,有,有,無,09:00,18:00,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000074,東京都,多摩市,多摩市立桜ヶ丘児童館,タマシリツサクラガオカジドウカン,Sakuragaoka chidren's　house,東京都多摩市桜ヶ丘1-17-7,,,35.639809,139.446652,0,0,0,0,0,0,0,0,0,0,0,無,有,無,10:00,18:00,土曜日、三期休業中は9:30開始,,,,,,,,,,,,,,
132241,0000000075,東京都,多摩市,多摩市立唐木田児童館,タマシリツカラキダジドウカン,Karakida chidren's　house,東京都多摩市鶴牧6-14,,,35.615452,139.413275,5,3,0,2,3,0,3,0,0,0,1,有,有,無,,,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000076,東京都,多摩市,多摩市立落合児童館,タマシリツオチアイジドウカン,Ochiai chidren's　house,東京都多摩市落合6-5,,,35.612079,139.425586,3,2,0,1,2,0,2,0,0,0,0,無,無,無,09:00,18:00,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000077,東京都,多摩市,多摩市立連光寺児童館,タマシリツレンコウジジドウカン,Renkouzi chidren's　house,東京都多摩市連光寺3-57-1,,,35.642745,139.456830,5,3,1,1,4,3,1,1,0,1,0,有,無,無,09:00,18:00,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000078,東京都,多摩市,多摩市立一ノ宮児童館,タマシリツイチノミヤジドウカン,Ichinomiya chidren's　house,東京都多摩市一ノ宮1-18-7,,,35.652941,139.442784,6,4,0,2,4,1,3,1,0,1,0,有,有,無,,,開館時間に準ずる,,,,,,,,,,,,,,
132241,0000000079,東京都,多摩市,多摩市立愛宕児童館,タマシリツアタゴジドウカン,Atago chidren's　house,東京都多摩市愛宕1-65-3,,,35.634695,139.432505,5,3,0,2,4,0,4,0,0,0,0,無,有,無,10:00,18:00,土曜日、三期休業中は9:30開始,,,,,,,,,,,,,,
